segment_point_id,latitude,longitude,road_code,route_segment,road_type,provincia,is_highway,km_marker,imd_total,imd_light,imd_heavy,pct_heavy,demand_index,imd_station_dist_km,imd_low_confidence,ev_fleet_province_2027,ev_fleet_point_allocated,ev_penetration_rate_2027,estimated_daily_ev_passages,nearest_charger_dist_km,nearest_charger_power_kw,nearest_charger_connections,nearest_fast_charger_dist_km,coverage_gap_flag,coverage_gap_km,available_capacity_mw,available_capacity_kw,nearest_substation_dist_km,distributor_network,grid_low_confidence,estimated_ev_demand_kw,n_chargers_proposed,grid_load_ratio,grid_status,traffic_weighted_demand,composite_priority_score
A2_0018,41.632305,0.745012,A-2,A-2,AUTOVÍA,LLEIDA,True,100.0,2132,1812.0,320.0,15.0,3846.0,41.05,True,10693,144.16,0.3,543.6,5.55,420000.0,16,5.55,False,0.0,0.95,950.0,11.917,Endesa,False,1630.8,12,1.716632,Congested,543.6,0.253737
A2_0019,41.508632,0.351227,A-2,A-2,AUTOVÍA,LLEIDA,True,150.0,2132,1812.0,320.0,15.0,3846.0,6.02,False,10693,144.16,0.3,543.6,1.676,12000.0,8,1.676,False,0.0,0.95,950.0,23.89,Endesa,True,1630.8,12,1.716632,Congested,543.6,0.253737
A2_0020,41.309941,-2.085605,A-2,A-2,AUTOVÍA,LLEIDA,True,200.0,496,422.0,74.0,15.0,30.0,77.73,True,10693,33.54,0.3,126.6,6.908,700000.0,8,6.908,False,0.0,9.52,9520.0,49.112,Endesa,True,379.8,4,0.039895,Sufficient,126.6,0.251009
A2_0021,40.561291,-3.255651,A-2,A-2,AUTOVÍA,LLEIDA,True,250.0,77527,65898.0,11629.0,15.0,26359.0,7.63,False,10693,5242.13,0.3,19769.4,0.694,88000.0,16,0.694,False,0.0,1.35,1350.0,28.985,Endesa,True,59308.2,12,43.932,Congested,19769.4,0.407165
A2_0022,41.656834,1.11916,A-2,A-2,AUTOVÍA,LLEIDA,True,300.0,4401,3741.0,660.0,15.0,7539.0,34.21,True,10693,297.58,0.3,1122.3,1.313,300000.0,8,1.313,False,0.0,0.29,290.0,28.045,Endesa,True,3366.9,12,11.61,Congested,1122.3,0.251562
A2_0023,41.535707,-1.245676,A-2,A-2,AUTOVÍA,LLEIDA,True,350.0,496,422.0,74.0,15.0,4452.0,14.22,False,10693,33.54,0.3,126.6,0.855,495000.0,28,0.855,False,0.0,48.03,48030.0,45.333,Endesa,True,379.8,4,0.007908,Sufficient,126.6,0.251034
A2_0024,41.364985,-1.583713,A-2,A-2,AUTOVÍA,LLEIDA,True,400.0,496,422.0,74.0,15.0,30.0,35.29,True,10693,33.54,0.3,126.6,0.885,200000.0,8,0.885,False,0.0,9.43,9430.0,50.981,Endesa,True,379.8,4,0.040276,Sufficient,126.6,0.251009
A2_0025,41.21892,-2.286549,A-2,A-2,AUTOVÍA,LLEIDA,True,450.0,3591,3052.0,539.0,15.0,1961.0,80.0,True,10693,242.81,0.3,915.6,10.18,333000.0,24,10.18,False,0.0,9.52,9520.0,63.581,Endesa,True,2746.8,12,0.288529,Sufficient,915.6,0.258475
A2_0026,41.614555,-0.698959,A-2,A-2,AUTOVÍA,LLEIDA,True,500.0,31885,27102.0,4783.0,15.0,233143.0,3.76,False,10693,2155.96,0.3,8130.6,5.481,143650.0,12,5.481,False,0.0,48.03,48030.0,70.233,Endesa,True,24391.8,12,0.507845,Moderate,8130.6,0.328361
A21_0027,42.622293,-1.112937,A-21,A-21,AUTOVÍA,ZARAGOZA,True,0.0,548,466.0,82.0,15.0,1284.0,51.53,True,9613,37.06,0.3,139.8,7.421,150000.0,12,7.421,False,0.0,3.7,3700.0,71.841,i-DE,True,419.4,5,0.113351,Moderate,139.8,0.251079
A22_0028,42.151967,-0.3902,A-22,A-22,AUTOVÍA,HUESCA,True,0.0,10200,8670.0,1530.0,15.0,734.0,2.16,False,9867,689.69,0.3,2601.0,0.421,22180.0,8,0.421,False,0.0,48.03,48030.0,90.836,i-DE,True,7803.0,12,0.162461,Sufficient,2601.0,0.27494
A22_0029,42.052933,-0.032348,A-22,A-22,AUTOVÍA,HUESCA,True,50.0,10200,8670.0,1530.0,15.0,581.0,29.39,True,9867,689.69,0.3,2601.0,7.739,286000.0,24,7.739,False,0.0,0.95,950.0,75.859,i-DE,True,7803.0,12,8.213684,Congested,2601.0,0.268596
