site_key,lat,lon,number_of_connections,total_power_kw
hash::957e2b056a5dc05f,41.537197,2.444293,1,
hash::1e0e4eb3bb801efa,41.391056,2.147744,1,
hash::b20dec94879cd4e4,41.3911,2.1659,1,
hash::e0b307ee6a261e07,41.3911,2.1659,1,
hash::b3cf18da14aa4727,41.391056,2.147744,1,
hash::2c26ff5e492ab1d1,41.38286,2.142526,1,
hash::b8be2042443a9698,41.412132,2.132983,1,
hash::d554989a0b2c36b6,41.412125,2.132973,1,
hash::dc2541c5fd5af3db,41.412113,2.132963,1,
hash::6c3ac41dde95e817,41.412106,2.132953,1,
hash::235de7d5e58c277c,41.412094,2.132943,1,
hash::04fc1796ba3289f0,41.412083,2.132933,1,
hash::6eba8467d2393260,41.39251,2.169999,2,
hash::e54dfe4547e1415f,41.394405,2.14668,2,
hash::88f8f2ff207f6f8f,41.39251,2.169999,2,
hash::a9b790292c7a2216,41.398975,2.153681,1,
hash::c5f4bcbf5c3adf33,41.39384,2.142966,1,
hash::8269e7c5c79a7c7b,41.393757,2.143087,1,
hash::a8abc6019105e38d,41.398945,2.153651,1,
hash::5eca05613cbbc385,41.39251,2.169999,1,
hash::065d214cbec15fb8,41.398888,2.153591,1,
hash::39cbb7b11c712bbd,41.398914,2.153621,1,
hash::37843aaf35d478f0,41.39251,2.169999,1,
hash::e831a89e156b0798,41.394405,2.14668,1,
hash::94fd1c8fe9c42b64,41.38821,2.155091,1,
hash::de4a09bb4d2be2ed,41.34434,1.698899,1,
hash::ffeae0353f1007bc,41.385906,2.170416,1,
hash::f13b07fa8428aedb,41.385906,2.170416,1,
hash::77f576242b048513,41.385906,2.170416,1,
hash::def79b6da0f4d099,41.385906,2.170416,1,
hash::38f0c112df01ecf3,41.34434,1.698899,1,
hash::bb3b6796fcadc056,41.34434,1.698899,1,
hash::84943846961a4ef6,41.34434,1.698899,2,
hash::182df5d6495658a0,41.38781,2.155298,1,
hash::f1dfb18cd88b9b64,41.34434,1.698899,2,
hash::cbae023fbbfbb72b,41.385906,2.170416,2,
hash::b0eeb87906497138,41.385906,2.170416,2,
hash::d99df1b315a062c3,41.385906,2.170416,2,
hash::0c7253d0eb83db5f,41.385906,2.170416,2,
hash::5ba15836225adc26,41.385906,2.170416,2,
hash::6098740823411d8c,41.563152,2.017063,2,
hash::901b185266600101,41.661484,-4.780455,2,
hash::0a6b8e4b4277bc8f,42.81525,-1.643194,2,
hash::1e018181e4978c0b,41.401398,2.15662,2,
hash::8ca1117bc6897bbb,41.37944,2.162504,2,
hash::9fb54714c58876e7,42.433186,1.926413,2,
hash::5b7c1dc961934bbe,41.39019,2.14327,2,
hash::0eea27efafea95b0,41.39019,2.14327,2,
hash::4d255b0fa4f57fe8,42.26596,2.96378,2,
hash::c23462a67209f414,42.815266,-1.643179,2,
hash::745f727ada1cdcd0,42.265972,2.963795,2,
hash::51bf29a3177cd58e,41.395424,2.148212,2,
hash::7c7bbfe80e6fab90,41.395435,2.148227,2,
hash::c917bbc57d955bca,41.386147,2.126348,2,
hash::ae7293c6dc34b7e4,41.37538,2.169394,2,
hash::09b5a2872eff2718,41.395515,2.163515,2,
hash::c93384fea5664ad6,41.3955,2.1635,2,
hash::56e6854a6f3f88a9,41.37449,2.142742,2,
hash::deefb62c8d90957e,41.374504,2.142757,2,
hash::358b5eac7454c0e5,41.53718,2.444276,2,
hash::b19279fc7a7b0eeb,41.537193,2.444291,2,
hash::f95507da35145402,41.38516,2.176527,2,
hash::d51bd37f9fa28513,41.385178,2.176547,2,
hash::1904ddf5c747df2f,41.394405,2.14668,2,
hash::81290ee2c0e7122e,41.39442,2.146695,2,
hash::b37634370b9ac2fb,43.367546,-8.407797,2,
hash::d33cf82b02b3f159,43.36756,-8.407782,2,
hash::8b49226303a50c8f,41.44728,2.245251,2,
hash::50476942ab037ef3,41.447296,2.245266,2,
hash::74a0fadcab61f2ef,41.54703,2.105567,2,
hash::c08be2f6171b0774,41.375397,2.169409,2,
hash::ccbeeca246b1878b,41.386345,2.12675,2,
hash::7b5f2b152675ad7b,41.39266,2.164552,2,
hash::c22c3551732226b3,41.392673,2.164567,2,
hash::1d616952ed634a63,41.547047,2.105582,2,
hash::ffcaffecb9a8802b,41.383087,2.150278,2,
hash::9bf42b92c32296e6,41.383102,2.150293,2,
hash::f0e172ec81b88764,38.342297,-0.493764,2,
hash::dea3207f6e44cc25,38.34334,-0.489135,2,
hash::d138afde3fb1e329,36.48897,-4.953049,2,
hash::87d382638afd9f42,40.423313,-3.708764,2,
hash::b877ecaed337e8de,40.42333,-3.708749,2,
hash::0d291fe9213031dc,36.488983,-4.953034,2,
hash::84d4a0cc7584a330,41.344715,1.698415,2,
hash::629f06467805a5b8,41.3447,1.6984,2,
hash::20c10a42746d65f7,41.38938,2.153942,2,
hash::35f9e69db2d3228a,41.382202,2.168282,2,
hash::9f78f19c82bbd48f,41.382217,2.168297,2,
hash::0ef322aa5a5295bd,41.389397,2.153957,2,
hash::9dfa702577bb3bcf,41.987007,2.822127,2,
hash::e3fc2650ecafeac6,41.987022,2.822142,2,
hash::0c1d72d4ae145906,41.385895,2.170416,2,
hash::3f517605a5d9789d,41.390812,2.166542,2,
hash::7bde25b31e560aa5,41.38591,2.170431,2,
hash::d5299ec9691ca369,41.391327,2.166012,2,
hash::23006da1d458250f,41.930454,2.25364,2,
hash::6fad8c6af85244ed,41.380024,2.189042,2,
hash::fb199dddb91f3185,41.37973,2.18913,2,
hash::34a2f4af57b37028,41.39269,2.164582,2,
hash::a7c761aec2857623,41.39251,2.169999,2,
hash::e0aabad148ad0e71,41.391056,2.147744,2,
hash::cc82a739f273f7e5,41.383892,2.142852,2,
hash::76b43286d823f922,41.39107,2.147758,2,
hash::3a5c9524f0eab0c5,41.383907,2.142867,2,
hash::3a7b0f175151b56a,41.38813,2.167363,2,
hash::36070b376ff317c3,41.388145,2.167378,2,
hash::b58f10d7a6816458,41.390812,2.166542,2,
hash::65b06a60b1e1bc57,41.379456,2.162519,2,
hash::78382f8d29ca0243,41.385563,2.177321,2,
hash::e28b4db75d708bd8,41.39243,2.16983,2,
hash::025f379b52b3b3ed,41.385662,2.177042,2,
hash::92b5c438c1d11c20,39.607674,2.6615,2,
hash::f1fbded41387630a,41.40142,2.156682,2,
hash::a2bf314cd4e0c5d0,42.016693,1.883166,3,
hash::9eeacdcaa2bfae16,37.61691,-0.98396,3,
hash::1f8cba53b421b088,43.658215,-7.845312,3,
hash::bc6d6cc593d10647,40.36621,-3.693755,3,
hash::f1394a081650da35,42.029976,-4.322236,3,
hash::07e6137c47422659,37.74965,-0.963841,3,
