bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
M3_EXCL_058,40.608465,-3.973676,A-6,i-DE,1800,Congested
M3_EXCL_059,42.415582,-5.359388,A-60,Viesgo,1800,Congested
M3_EXCL_060,42.14075,-4.106933,A-62,i-DE,1800,Congested
M3_EXCL_061,41.519428,-4.936182,A-62,i-DE,1800,Congested
M3_EXCL_062,40.588635,-6.778965,A-62,i-DE,1800,Congested
M3_EXCL_063,39.191647,-6.27749,A-66,i-DE,1800,Congested
M3_EXCL_064,38.389938,-6.340617,A-66,i-DE,1800,Congested
M3_EXCL_065,42.38691,-4.385695,A-67,i-DE,1800,Congested
M3_EXCL_066,42.450176,-4.392189,A-67,i-DE,1800,Congested
M3_EXCL_067,41.763469,-1.183965,A-68,i-DE,1800,Congested
M3_EXCL_068,36.517495,-4.865655,A-7,Endesa,1800,Moderate
M3_EXCL_069,36.732864,-4.320781,A-7,Endesa,1800,Congested
M3_EXCL_070,39.010888,-0.562239,A-7,Endesa,1800,Congested
M3_EXCL_071,36.759178,-3.710237,A-7,Endesa,1800,Moderate
M3_EXCL_072,41.1277,1.237026,A-7,Endesa,1800,Congested
M3_EXCL_073,36.446695,-5.093106,A-7,Endesa,1800,Congested
M3_EXCL_074,36.738373,-3.378148,A-7,Endesa,1800,Moderate
M3_EXCL_075,36.726011,-4.507986,A-7,Endesa,1800,Moderate
M3_EXCL_076,39.465851,-0.550783,A-7,Endesa,1800,Congested
M3_EXCL_077,36.201188,-5.424957,A-7,Endesa,1800,Congested
M3_EXCL_078,36.745943,-3.487441,A-7,Endesa,1800,Moderate
M3_EXCL_079,38.39246,-0.547078,A-77,Viesgo,1800,Congested
M3_EXCL_080,43.373536,-3.21886,A-8,Viesgo,1800,Congested
M3_EXCL_081,43.329799,-3.964225,A-8,Viesgo,1800,Congested
M3_EXCL_082,40.676252,-4.640683,AV-20,i-DE,1800,Congested
M3_EXCL_083,41.340068,2.113615,B-10,Endesa,1800,Congested
M3_EXCL_084,41.471366,2.278505,B-20,Endesa,1800,Congested
M3_EXCL_085,41.30219,2.056046,B-22,Endesa,1800,Congested
M3_EXCL_086,41.380236,1.920951,B-24,Endesa,1800,Congested
M3_EXCL_087,41.502789,2.122042,B-30,Endesa,1800,Congested
M3_EXCL_088,41.553071,1.976101,B-40,Endesa,1800,Congested
M3_EXCL_089,42.304696,-3.745343,BU-30,i-DE,1800,Congested
M3_EXCL_090,36.56648,-6.202896,CA-32,Endesa,1800,Congested
M3_EXCL_091,36.467807,-6.167937,CA-33,Endesa,1800,Congested
M3_EXCL_092,36.532789,-6.203041,CA-35,Endesa,1800,Congested
M3_EXCL_093,36.523135,-6.222573,CA-36,Endesa,1800,Congested
M3_EXCL_094,39.984225,-0.005789,CS-22,Viesgo,1800,Congested
M3_EXCL_095,38.608624,-0.669199,CV-80,Viesgo,1800,Congested
M3_EXCL_096,38.299406,-0.669402,EL-20,Viesgo,1800,Congested
M3_EXCL_097,36.745189,-3.563489,GR-14,Endesa,1800,Moderate
M3_EXCL_098,36.73693,-3.491745,GR-16,Endesa,1800,Moderate
M3_EXCL_099,37.15795,-3.612606,GR-30,Endesa,1800,Moderate
M3_EXCL_100,37.213651,-3.71476,GR-43,Endesa,1800,Moderate
M3_EXCL_101,37.24526,-6.943928,H-30,Endesa,1800,Congested
M3_EXCL_102,37.309002,-6.890905,H-31,Endesa,1800,Congested
M3_EXCL_103,42.439142,-2.537421,LO-20,i-DE,1800,Congested
M3_EXCL_104,40.471116,-3.605602,M-11,Viesgo,1800,Congested
M3_EXCL_105,40.479175,-3.604351,M-13,Viesgo,1800,Congested
M3_EXCL_106,40.457045,-3.582031,M-14,Viesgo,1800,Congested
M3_EXCL_107,40.449177,-3.603852,M-21,Viesgo,1800,Congested
M3_EXCL_108,40.438973,-3.560087,M-22,Viesgo,1800,Congested
M3_EXCL_109,40.41772,-3.65537,M-23,Viesgo,1800,Congested
M3_EXCL_110,40.372441,-3.653559,M-31,Viesgo,1800,Congested
M3_EXCL_111,40.449177,-3.603852,M-40,Viesgo,1800,Congested
