road_code,pk_start,pk_end,length_m,length_km,owner,imd_total,imd_light,imd_heavy,pct_heavy,demand_index,centroid_lat,centroid_lon,imd_total_outlier_flag,spatial_dup_flag
N-430A,427.5,428.281,1230,1.23,Estado,807,686.0,121.0,15.0,993.0,38.972878,-2.759854,False,False
A-33,70.958,75.0,3952,3.952,Estado,15531,13201.0,2330.0,15.0,61379.0,38.714634,-0.987232,False,False
A-33,75.0,75.4,391,0.391,Estado,15531,13201.0,2330.0,15.0,6073.0,38.717718,-0.96422,False,False
A-33,75.4,75.408,8,0.008,Estado,15531,13201.0,2330.0,15.0,124.0,38.718111,-0.961981,False,False
A-33,75.408,77.5,2045,2.045,Estado,15531,13201.0,2330.0,15.0,31761.0,38.720383,-0.950637,False,False
A-33,77.5,77.7,196,0.196,Estado,15531,13201.0,2330.0,15.0,3044.0,38.724088,-0.938677,False,False
A-33,77.7,77.736,35,0.035,Estado,15531,13201.0,2330.0,15.0,544.0,38.724719,-0.937618,False,False
A-33,77.736,78.9,1138,1.138,Estado,15531,13201.0,2330.0,15.0,17674.0,38.727964,-0.93243,False,False
A-33,78.9,81.47,2513,2.513,Estado,15531,13201.0,2330.0,15.0,39029.0,38.741735,-0.920794,False,False
A-33,81.47,84.28,2747,2.747,Estado,15531,13201.0,2330.0,15.0,42664.0,38.757689,-0.900819,False,False
A-33,84.28,85.3,997,0.997,Estado,19174,16298.0,2876.0,15.0,19116.0,38.77318,-0.893206,False,False
A-33,85.3,85.7,391,0.391,Estado,19174,16298.0,2876.0,15.0,7497.0,38.779412,-0.892592,False,False
A-33,85.7,86.0,293,0.293,Estado,20794,17675.0,3119.0,15.0,6093.0,38.782494,-0.892656,False,False
A-33,86.0,89.2,3129,3.129,Estado,20794,17675.0,3119.0,15.0,65064.0,38.797638,-0.889471,False,False
A-33,89.2,89.77,557,0.557,Estado,20794,17675.0,3119.0,15.0,11582.0,38.813586,-0.886831,False,False
A-33,89.77,90.1,323,0.323,Estado,20794,17675.0,3119.0,15.0,6716.0,38.817028,-0.889172,False,False
A-33,90.1,90.54,430,0.43,Estado,20794,17675.0,3119.0,15.0,8941.0,38.820259,-0.890476,False,False
A-7,512.0,513.53,1434,1.434,Estado,68306,58060.0,10246.0,15.0,97951.0,38.300066,-0.672799,True,False
A-7,513.53,513.571,36,0.036,Estado,68306,58060.0,10246.0,15.0,2459.0,38.296869,-0.678905,True,False
A-7,513.571,517.2,3643,3.643,Estado,68306,58060.0,10246.0,15.0,248839.0,38.292223,-0.698718,True,False
A-7,1168.3,1171.25,3137,3.137,Estado,26013,22111.0,3902.0,15.0,81603.0,41.139093,1.332649,False,False
N-332,120.6,122.5,1877,1.877,Estado,6357,5403.0,954.0,15.0,11932.0,38.446409,-0.383496,False,False
N-332,122.5,122.807,303,0.303,Estado,6357,5403.0,954.0,15.0,1926.0,38.450814,-0.373139,False,False
N-332,122.807,134.1,11159,11.159,Estado,6357,5403.0,954.0,15.0,70938.0,38.476513,-0.321083,False,False
N-332,134.1,137.4,3261,3.261,Estado,6357,5403.0,954.0,15.0,20730.0,38.506557,-0.253595,False,False
N-332,137.4,142.4,3746,3.746,Estado,14041,11935.0,2106.0,15.0,52598.0,38.522091,-0.220305,False,False
N-332,142.4,144.13,1296,1.296,Estado,14041,11935.0,2106.0,15.0,18197.0,38.530313,-0.193777,False,False
N-332,144.13,144.7,1922,1.922,Estado,42938,36497.0,6441.0,15.0,82527.0,38.535315,-0.176934,False,False
N-332,144.7,144.8,337,0.337,Estado,42938,36497.0,6441.0,15.0,14470.0,38.541083,-0.166267,False,False
N-332,144.8,147.1,2237,2.237,Estado,42938,36497.0,6441.0,15.0,96052.0,38.547115,-0.153647,False,False
N-332,190.2,190.6,386,0.386,Estado,16784,14266.0,2518.0,15.0,6479.0,38.78372,0.07778,False,False
N-332,194.22,194.26,39,0.039,Estado,16784,14266.0,2518.0,15.0,655.0,38.802945,0.043244,False,False
N-332,194.26,195.3,1003,1.003,Estado,16784,14266.0,2518.0,15.0,16834.0,38.805562,0.03848,False,False
N-332,218.42,218.58,211,0.211,Estado,22809,19388.0,3421.0,15.0,4813.0,38.940219,-0.153823,False,False
N-332,241.4,242.65,1260,1.26,Estado,10160,8636.0,1524.0,15.0,12802.0,39.114202,-0.275603,False,False
N-332,244.06,244.15,91,0.091,Estado,10160,8636.0,1524.0,15.0,925.0,39.128122,-0.289171,False,False
N-332,244.15,244.2,50,0.05,Estado,10160,8636.0,1524.0,15.0,508.0,39.128672,-0.288762,False,False
N-340,375.325,375.6,275,0.275,Estado,464,394.0,70.0,15.0,128.0,36.752941,-3.148996,False,False
N-340,375.6,377.5,1706,1.706,Estado,464,394.0,70.0,15.0,792.0,36.752368,-3.139671,False,False
N-340,377.5,377.69,190,0.19,Estado,464,394.0,70.0,15.0,88.0,36.75298,-3.130279,False,False
N-340,377.69,380.93,3246,3.246,Estado,553,470.0,83.0,15.0,1795.0,36.751687,-3.11202,False,False
N-340,380.93,381.04,110,0.11,Estado,553,470.0,83.0,15.0,61.0,36.750477,-3.094413,False,False
N-340,381.04,383.02,1984,1.984,Estado,553,470.0,83.0,15.0,1097.0,36.748094,-3.083782,False,False
N-340,383.02,383.74,721,0.721,Estado,553,470.0,83.0,15.0,399.0,36.746765,-3.06907,False,False
N-340,383.74,383.82,80,0.08,Estado,553,470.0,83.0,15.0,44.0,36.747188,-3.064726,False,False
N-340,799.0,799.6,1082,1.082,Estado,24699,20994.0,3705.0,15.0,26724.0,38.724118,-0.445819,False,False
N-340,974.9,975.05,215,0.215,Estado,16334,13884.0,2450.0,15.0,3512.0,39.992793,-0.089769,False,False
N-340,975.05,975.11,86,0.086,Estado,16334,13884.0,2450.0,15.0,1405.0,39.994132,-0.089574,False,False
N-340,975.11,976.2,1556,1.556,Estado,16334,13884.0,2450.0,15.0,25416.0,40.000059,-0.083898,False,False
N-340,976.2,976.3,143,0.143,Estado,16334,13884.0,2450.0,15.0,2336.0,40.002699,-0.075785,False,False
N-340,976.3,980.1,5396,5.396,Estado,21740,18479.0,3261.0,15.0,117309.0,40.014466,-0.049326,False,False
N-340,980.1,985.675,6402,6.402,Estado,21740,18479.0,3261.0,15.0,139179.0,40.031385,0.008976,False,False
N-340,985.675,987.11,1433,1.433,Estado,21740,18479.0,3261.0,15.0,31153.0,40.047324,0.049154,False,False
N-340,987.11,987.724,620,0.62,Estado,21740,18479.0,3261.0,15.0,13479.0,40.053738,0.057796,False,False
N-340,987.724,987.768,44,0.044,Estado,21740,18479.0,3261.0,15.0,957.0,40.055453,0.060825,False,False
N-340,987.768,992.55,4795,4.795,Estado,9858,8379.0,1479.0,15.0,47269.0,40.065498,0.084941,False,False
N-340,992.55,992.862,325,0.325,Estado,9858,8379.0,1479.0,15.0,3204.0,40.074243,0.110549,False,False
